Line 343: DIVs (1/0), MDIVs (0/0)
Line 902: DIVs (57/45), MDIVs (11/10)
Line 903: DIVs (57/46), MDIVs (11/10)
Line 904: DIVs (57/46), MDIVs (11/10)
Line 905: DIVs (57/46), MDIVs (11/11)
Line 906: DIVs (57/46), MDIVs (11/11)
Line 907: DIVs (57/46), MDIVs (11/11)
Line 908: DIVs (57/46), MDIVs (11/11)
Line 909: DIVs (57/46), MDIVs (11/11)
Line 910: DIVs (58/46), MDIVs (11/11)
Line 911: DIVs (59/46), MDIVs (11/11)
Line 912: DIVs (60/46), MDIVs (11/11)
Line 913: DIVs (61/46), MDIVs (11/11)
Line 914: DIVs (62/46), MDIVs (11/11)
Line 915: DIVs (63/46), MDIVs (11/11)
Line 916: DIVs (64/46), MDIVs (11/11)
Line 917: DIVs (65/46), MDIVs (11/11)
Line 918: DIVs (65/47), MDIVs (11/11)
Line 919: DIVs (65/48), MDIVs (11/11)
Line 920: DIVs (65/48), MDIVs (11/11)
Line 921: DIVs (65/49), MDIVs (11/11)
Line 922: DIVs (65/49), MDIVs (11/11)
Line 923: DIVs (65/49), MDIVs (11/11)
Line 924: DIVs (65/49), MDIVs (11/11)
Line 925: DIVs (66/49), MDIVs (11/11)
Line 926: DIVs (66/49), MDIVs (11/11)
Line 927: DIVs (66/49), MDIVs (11/11)
Line 928: DIVs (67/49), MDIVs (11/11)
Line 929: DIVs (67/49), MDIVs (11/11)
Line 930: DIVs (67/49), MDIVs (11/11)
Line 931: DIVs (67/49), MDIVs (11/11)
Line 932: DIVs (67/49), MDIVs (11/11)
Line 933: DIVs (67/49), MDIVs (11/11)
Line 934: DIVs (67/49), MDIVs (11/11)
Line 935: DIVs (67/49), MDIVs (11/11)
Line 936: DIVs (67/49), MDIVs (11/11)
Line 937: DIVs (67/49), MDIVs (11/11)
Line 938: DIVs (67/49), MDIVs (11/11)
Line 939: DIVs (67/49), MDIVs (11/11)
Line 940: DIVs (67/49), MDIVs (11/11)
Line 941: DIVs (67/49), MDIVs (11/11)
Line 942: DIVs (67/49), MDIVs (11/11)
Line 943: DIVs (67/49), MDIVs (11/11)
Line 944: DIVs (67/49), MDIVs (11/11)
Line 945: DIVs (67/50), MDIVs (11/11)
Line 946: DIVs (67/50), MDIVs (11/11)
Line 947: DIVs (67/51), MDIVs (11/11)
Line 948: DIVs (67/51), MDIVs (11/11)
Line 949: DIVs (67/52), MDIVs (11/11)
Line 950: DIVs (67/52), MDIVs (11/11)
Line 951: DIVs (67/52), MDIVs (11/11)
Line 952: DIVs (67/52), MDIVs (11/11)
Line 953: DIVs (67/52), MDIVs (11/11)
Line 954: DIVs (68/52), MDIVs (11/11)
Line 955: DIVs (69/52), MDIVs (11/11)
Line 956: DIVs (70/52), MDIVs (11/11)
Line 957: DIVs (70/52), MDIVs (11/11)
Line 958: DIVs (70/52), MDIVs (11/11)
Line 959: DIVs (70/52), MDIVs (11/11)
Line 960: DIVs (71/52), MDIVs (11/11)
Line 961: DIVs (71/53), MDIVs (11/11)
Line 962: DIVs (72/53), MDIVs (11/11)
Line 963: DIVs (72/53), MDIVs (11/11)
Line 964: DIVs (73/53), MDIVs (11/11)
Line 965: DIVs (74/53), MDIVs (11/11)
Line 966: DIVs (74/53), MDIVs (11/11)
Line 967: DIVs (74/53), MDIVs (11/11)
Line 968: DIVs (75/53), MDIVs (11/11)
Line 969: DIVs (75/53), MDIVs (11/11)
Line 970: DIVs (75/53), MDIVs (11/11)
Line 971: DIVs (76/53), MDIVs (11/11)
Line 972: DIVs (76/53), MDIVs (11/11)
Line 973: DIVs (76/53), MDIVs (11/11)
Line 974: DIVs (76/53), MDIVs (11/11)
Line 975: DIVs (76/53), MDIVs (11/11)
Line 976: DIVs (76/53), MDIVs (11/11)
Line 977: DIVs (76/53), MDIVs (11/11)
Line 978: DIVs (76/53), MDIVs (11/11)
Line 979: DIVs (76/53), MDIVs (11/11)
Line 980: DIVs (76/53), MDIVs (11/11)
Line 981: DIVs (76/53), MDIVs (11/11)
Line 982: DIVs (77/54), MDIVs (11/11)
Line 983: DIVs (77/54), MDIVs (11/11)
Line 984: DIVs (77/55), MDIVs (11/11)
Line 985: DIVs (77/55), MDIVs (11/11)
Line 986: DIVs (77/56), MDIVs (11/11)
Line 987: DIVs (77/57), MDIVs (11/11)
Line 988: DIVs (77/58), MDIVs (11/11)
Line 989: DIVs (77/59), MDIVs (11/11)
Line 990: DIVs (77/59), MDIVs (11/11)
Line 991: DIVs (77/59), MDIVs (11/11)
Line 992: DIVs (77/59), MDIVs (11/11)
Line 993: DIVs (77/59), MDIVs (11/11)
Line 994: DIVs (78/59), MDIVs (11/11)
Line 995: DIVs (79/59), MDIVs (11/11)
Line 996: DIVs (79/59), MDIVs (11/11)
Line 997: DIVs (79/59), MDIVs (11/11)
Line 998: DIVs (79/59), MDIVs (11/11)
Line 999: DIVs (79/59), MDIVs (11/11)
Line 1000: DIVs (80/59), MDIVs (11/11)
Line 1001: DIVs (80/59), MDIVs (11/11)
Line 1002: DIVs (80/59), MDIVs (11/11)
Line 1003: DIVs (80/59), MDIVs (11/11)
Line 1004: DIVs (80/59), MDIVs (11/11)
Line 1005: DIVs (80/59), MDIVs (11/11)
Line 1006: DIVs (81/59), MDIVs (11/11)
Line 1007: DIVs (81/60), MDIVs (11/11)
Line 1008: DIVs (81/60), MDIVs (11/11)
Line 1009: DIVs (82/60), MDIVs (11/11)
Line 1010: DIVs (82/60), MDIVs (11/11)
Line 1011: DIVs (82/60), MDIVs (11/11)
Line 1012: DIVs (82/60), MDIVs (11/11)
Line 1013: DIVs (82/60), MDIVs (11/11)
Line 1014: DIVs (82/60), MDIVs (11/11)
Line 1015: DIVs (82/60), MDIVs (11/11)
Line 1016: DIVs (82/60), MDIVs (11/11)
Line 1017: DIVs (82/61), MDIVs (11/11)
Line 1018: DIVs (82/61), MDIVs (11/11)
Line 1019: DIVs (82/61), MDIVs (11/11)
Line 1020: DIVs (82/61), MDIVs (11/11)
Line 1021: DIVs (82/61), MDIVs (11/11)
Line 1022: DIVs (82/61), MDIVs (11/11)
Line 1023: DIVs (83/61), MDIVs (11/11)
Line 1024: DIVs (83/61), MDIVs (11/11)
Line 1025: DIVs (83/61), MDIVs (11/11)
Line 1026: DIVs (83/61), MDIVs (11/11)
Line 1027: DIVs (83/61), MDIVs (11/11)
Line 1028: DIVs (83/61), MDIVs (11/11)
Line 1029: DIVs (83/61), MDIVs (11/11)
Line 1030: DIVs (83/61), MDIVs (11/11)
Line 1031: DIVs (83/62), MDIVs (11/11)
Line 1032: DIVs (83/62), MDIVs (11/11)
Line 1033: DIVs (84/62), MDIVs (11/11)
Line 1034: DIVs (84/62), MDIVs (11/11)
Line 1035: DIVs (84/62), MDIVs (11/11)
Line 1036: DIVs (84/62), MDIVs (11/11)
Line 1037: DIVs (84/62), MDIVs (11/11)
Line 1038: DIVs (84/62), MDIVs (11/11)
Line 1039: DIVs (85/62), MDIVs (11/11)
Line 1040: DIVs (85/63), MDIVs (11/11)
Line 1041: DIVs (85/63), MDIVs (11/11)
Line 1042: DIVs (85/63), MDIVs (11/11)
Line 1043: DIVs (85/64), MDIVs (11/11)
Line 1044: DIVs (85/65), MDIVs (11/11)
Line 1045: DIVs (85/65), MDIVs (11/11)
Line 1046: DIVs (85/65), MDIVs (11/11)
Line 1047: DIVs (85/65), MDIVs (11/11)
Line 1048: DIVs (85/65), MDIVs (11/11)
Line 1049: DIVs (86/65), MDIVs (11/11)
Line 1050: DIVs (86/65), MDIVs (11/11)
Line 1051: DIVs (87/65), MDIVs (11/11)
Line 1052: DIVs (87/65), MDIVs (11/11)
Line 1053: DIVs (87/65), MDIVs (11/11)
Line 1054: DIVs (88/65), MDIVs (11/11)
Line 1055: DIVs (88/65), MDIVs (11/11)
Line 1056: DIVs (89/65), MDIVs (11/11)
Line 1057: DIVs (89/65), MDIVs (11/11)
Line 1058: DIVs (89/65), MDIVs (11/11)
Line 1059: DIVs (89/65), MDIVs (11/11)
Line 1060: DIVs (89/65), MDIVs (11/11)
Line 1061: DIVs (89/65), MDIVs (11/11)
Line 1062: DIVs (89/65), MDIVs (11/11)
Line 1063: DIVs (89/65), MDIVs (11/11)
Line 1064: DIVs (89/65), MDIVs (11/11)
Line 1065: DIVs (89/65), MDIVs (11/11)
Line 1066: DIVs (89/65), MDIVs (11/11)
Line 1067: DIVs (89/65), MDIVs (11/11)
Line 1068: DIVs (89/65), MDIVs (11/11)
Line 1069: DIVs (90/65), MDIVs (11/11)
Line 1070: DIVs (91/65), MDIVs (11/11)
Line 1071: DIVs (91/65), MDIVs (11/11)
Line 1072: DIVs (91/65), MDIVs (11/11)
Line 1073: DIVs (91/65), MDIVs (11/11)
Line 1074: DIVs (91/65), MDIVs (11/11)
Line 1075: DIVs (91/65), MDIVs (11/11)
Line 1076: DIVs (91/66), MDIVs (11/11)
Line 1077: DIVs (91/67), MDIVs (11/11)
Line 1078: DIVs (91/67), MDIVs (11/11)
Line 1079: DIVs (91/67), MDIVs (11/11)
Line 1080: DIVs (92/67), MDIVs (11/11)
Line 1081: DIVs (93/67), MDIVs (11/11)
Line 1082: DIVs (93/67), MDIVs (11/11)
Line 1083: DIVs (93/67), MDIVs (11/11)
Line 1084: DIVs (93/67), MDIVs (11/11)
Line 1085: DIVs (93/67), MDIVs (11/11)
Line 1086: DIVs (93/67), MDIVs (11/11)
Line 1087: DIVs (93/67), MDIVs (11/11)
Line 1088: DIVs (93/67), MDIVs (11/11)
Line 1089: DIVs (93/67), MDIVs (11/11)
Line 1090: DIVs (93/67), MDIVs (11/11)
Line 1091: DIVs (93/67), MDIVs (11/11)
Line 1092: DIVs (93/67), MDIVs (11/11)
Line 1093: DIVs (93/67), MDIVs (11/11)
Line 1094: DIVs (94/67), MDIVs (11/11)
Line 1095: DIVs (94/67), MDIVs (11/11)
Line 1096: DIVs (94/68), MDIVs (11/11)
Line 1097: DIVs (94/68), MDIVs (11/11)
Line 1098: DIVs (94/68), MDIVs (11/11)
Line 1099: DIVs (95/68), MDIVs (11/11)
Line 1100: DIVs (95/68), MDIVs (11/11)
Line 1101: DIVs (95/68), MDIVs (11/11)
Line 1102: DIVs (95/68), MDIVs (11/11)
Line 1103: DIVs (95/68), MDIVs (11/11)
Line 1104: DIVs (95/68), MDIVs (11/11)
Line 1105: DIVs (95/69), MDIVs (11/11)
Line 1106: DIVs (95/69), MDIVs (11/11)
Line 1107: DIVs (95/69), MDIVs (11/11)
Line 1108: DIVs (95/69), MDIVs (11/11)
Line 1109: DIVs (95/69), MDIVs (11/11)
Line 1110: DIVs (95/69), MDIVs (11/11)
Line 1111: DIVs (95/69), MDIVs (11/11)
Line 1112: DIVs (95/69), MDIVs (11/11)
Line 1113: DIVs (96/69), MDIVs (11/11)
Line 1114: DIVs (97/69), MDIVs (11/11)
Line 1115: DIVs (97/69), MDIVs (11/11)
Line 1116: DIVs (97/69), MDIVs (11/11)
Line 1117: DIVs (97/69), MDIVs (11/11)
Line 1118: DIVs (97/69), MDIVs (11/11)
Line 1119: DIVs (97/69), MDIVs (11/11)
Line 1120: DIVs (97/69), MDIVs (11/11)
Line 1121: DIVs (97/69), MDIVs (11/11)
Line 1122: DIVs (97/69), MDIVs (11/11)
Line 1123: DIVs (97/70), MDIVs (11/11)
Line 1124: DIVs (97/70), MDIVs (11/11)
Line 1125: DIVs (97/70), MDIVs (11/11)
Line 1126: DIVs (97/70), MDIVs (11/11)
Line 1127: DIVs (97/70), MDIVs (11/11)
Line 1128: DIVs (97/70), MDIVs (11/11)
Line 1129: DIVs (97/70), MDIVs (11/11)
Line 1130: DIVs (97/70), MDIVs (11/11)
Line 1131: DIVs (97/70), MDIVs (11/11)
Line 1132: DIVs (97/70), MDIVs (11/11)
Line 1133: DIVs (97/70), MDIVs (11/11)
Line 1134: DIVs (97/70), MDIVs (11/11)
Line 1135: DIVs (97/70), MDIVs (11/11)
Line 1136: DIVs (97/70), MDIVs (11/11)
Line 1137: DIVs (97/70), MDIVs (11/11)
Line 1138: DIVs (97/71), MDIVs (11/11)
Line 1139: DIVs (97/71), MDIVs (11/11)
Line 1140: DIVs (97/71), MDIVs (11/11)
Line 1141: DIVs (98/71), MDIVs (11/11)
Line 1142: DIVs (98/71), MDIVs (11/11)
Line 1143: DIVs (98/72), MDIVs (11/11)
Line 1144: DIVs (98/72), MDIVs (11/11)
Line 1145: DIVs (98/73), MDIVs (11/11)
Line 1146: DIVs (98/74), MDIVs (11/11)
Line 1147: DIVs (98/74), MDIVs (11/11)
Line 1148: DIVs (98/74), MDIVs (11/11)
Line 1149: DIVs (98/74), MDIVs (11/11)
Line 1150: DIVs (99/74), MDIVs (11/11)
Line 1151: DIVs (99/74), MDIVs (11/11)
Line 1152: DIVs (99/74), MDIVs (11/11)
Line 1153: DIVs (99/74), MDIVs (11/11)
Line 1154: DIVs (99/74), MDIVs (11/11)
Line 1155: DIVs (99/74), MDIVs (11/11)
Line 1156: DIVs (99/74), MDIVs (11/11)
Line 1157: DIVs (99/74), MDIVs (11/11)
Line 1158: DIVs (99/74), MDIVs (11/11)
Line 1159: DIVs (99/74), MDIVs (11/11)
Line 1160: DIVs (99/74), MDIVs (11/11)
Line 1161: DIVs (99/74), MDIVs (11/11)
Line 1162: DIVs (99/74), MDIVs (11/11)
Line 1163: DIVs (99/74), MDIVs (11/11)
Line 1164: DIVs (99/74), MDIVs (11/11)
Line 1165: DIVs (99/74), MDIVs (11/11)
Line 1166: DIVs (99/74), MDIVs (11/11)
Line 1167: DIVs (99/75), MDIVs (11/11)
Line 1168: DIVs (99/75), MDIVs (11/11)
Line 1169: DIVs (99/76), MDIVs (11/11)
Line 1170: DIVs (99/76), MDIVs (11/11)
Line 1171: DIVs (99/76), MDIVs (11/11)
Line 1172: DIVs (99/76), MDIVs (11/11)
Line 1173: DIVs (99/76), MDIVs (11/11)
Line 1174: DIVs (100/76), MDIVs (11/11)
Line 1175: DIVs (100/76), MDIVs (11/11)
Line 1176: DIVs (100/76), MDIVs (11/11)
Line 1177: DIVs (101/76), MDIVs (11/11)
Line 1178: DIVs (101/76), MDIVs (11/11)
Line 1179: DIVs (101/76), MDIVs (11/11)
Line 1180: DIVs (102/76), MDIVs (11/11)
Line 1181: DIVs (102/76), MDIVs (11/11)
Line 1182: DIVs (102/77), MDIVs (11/11)
Line 1183: DIVs (102/77), MDIVs (11/11)
Line 1184: DIVs (102/77), MDIVs (11/11)
Line 1185: DIVs (103/77), MDIVs (11/11)
Line 1186: DIVs (104/77), MDIVs (11/11)
Line 1187: DIVs (104/77), MDIVs (11/11)
Line 1188: DIVs (104/77), MDIVs (11/11)
Line 1189: DIVs (105/77), MDIVs (11/11)
Line 1190: DIVs (105/77), MDIVs (11/11)
Line 1191: DIVs (105/78), MDIVs (11/11)
Line 1192: DIVs (105/79), MDIVs (11/11)
Line 1193: DIVs (105/79), MDIVs (11/11)
Line 1194: DIVs (106/79), MDIVs (11/11)
Line 1195: DIVs (106/79), MDIVs (11/11)
Line 1196: DIVs (106/79), MDIVs (11/11)
Line 1197: DIVs (106/79), MDIVs (11/11)
Line 1198: DIVs (106/79), MDIVs (11/11)
Line 1199: DIVs (106/79), MDIVs (11/11)
Line 1200: DIVs (106/79), MDIVs (11/11)
Line 1201: DIVs (106/79), MDIVs (11/11)
Line 1202: DIVs (106/80), MDIVs (11/11)
Line 1203: DIVs (106/81), MDIVs (11/11)
Line 1204: DIVs (106/81), MDIVs (11/11)
Line 1205: DIVs (106/82), MDIVs (11/11)
Line 1206: DIVs (106/82), MDIVs (11/11)
Line 1207: DIVs (106/82), MDIVs (11/11)
Line 1208: DIVs (106/82), MDIVs (11/11)
Line 1209: DIVs (106/82), MDIVs (11/11)
Line 1210: DIVs (106/82), MDIVs (11/11)
Line 1211: DIVs (106/82), MDIVs (11/11)
Line 1212: DIVs (107/82), MDIVs (11/11)
Line 1213: DIVs (108/82), MDIVs (11/11)
Line 1214: DIVs (108/82), MDIVs (11/11)
Line 1215: DIVs (108/83), MDIVs (11/11)
Line 1216: DIVs (108/83), MDIVs (11/11)
Line 1217: DIVs (109/83), MDIVs (11/11)
Line 1218: DIVs (110/83), MDIVs (11/11)
Line 1219: DIVs (111/83), MDIVs (11/11)
Line 1220: DIVs (112/83), MDIVs (11/11)
Line 1221: DIVs (112/83), MDIVs (11/11)
Line 1222: DIVs (112/84), MDIVs (11/11)
Line 1223: DIVs (112/84), MDIVs (11/11)
Line 1224: DIVs (112/84), MDIVs (11/11)
Line 1225: DIVs (112/84), MDIVs (11/11)
Line 1226: DIVs (112/84), MDIVs (11/11)
Line 1227: DIVs (112/84), MDIVs (11/11)
Line 1228: DIVs (112/84), MDIVs (11/11)
Line 1229: DIVs (112/84), MDIVs (11/11)
Line 1230: DIVs (112/84), MDIVs (11/11)
Line 1231: DIVs (112/84), MDIVs (11/11)
Line 1232: DIVs (112/84), MDIVs (11/11)
Line 1233: DIVs (113/84), MDIVs (11/11)
Line 1234: DIVs (113/84), MDIVs (11/11)
Line 1235: DIVs (113/85), MDIVs (11/11)
Line 1236: DIVs (113/85), MDIVs (11/11)
Line 1237: DIVs (114/85), MDIVs (11/11)
Line 1238: DIVs (114/85), MDIVs (11/11)
Line 1239: DIVs (114/85), MDIVs (11/11)
Line 1240: DIVs (114/85), MDIVs (11/11)
Line 1241: DIVs (114/85), MDIVs (11/11)
Line 1242: DIVs (114/85), MDIVs (11/11)
Line 1243: DIVs (115/85), MDIVs (11/11)
Line 1244: DIVs (115/85), MDIVs (11/11)
Line 1245: DIVs (115/85), MDIVs (11/11)
Line 1246: DIVs (115/86), MDIVs (11/11)
Line 1247: DIVs (115/86), MDIVs (11/11)
Line 1248: DIVs (115/87), MDIVs (11/11)
Line 1249: DIVs (115/88), MDIVs (11/11)
Line 1250: DIVs (115/88), MDIVs (11/11)
Line 1251: DIVs (115/88), MDIVs (11/11)
Line 1252: DIVs (115/88), MDIVs (11/11)
Line 1253: DIVs (115/88), MDIVs (11/11)
Line 1254: DIVs (116/88), MDIVs (11/11)
Line 1255: DIVs (117/88), MDIVs (11/11)
Line 1256: DIVs (118/88), MDIVs (11/11)
Line 1257: DIVs (119/88), MDIVs (11/11)
Line 1258: DIVs (119/88), MDIVs (11/11)
Line 1259: DIVs (120/88), MDIVs (11/11)
Line 1260: DIVs (120/89), MDIVs (11/11)
Line 1261: DIVs (120/89), MDIVs (11/11)
Line 1262: DIVs (120/89), MDIVs (11/11)
Line 1263: DIVs (120/89), MDIVs (11/11)
Line 1264: DIVs (120/89), MDIVs (11/11)
Line 1265: DIVs (120/89), MDIVs (11/11)
Line 1266: DIVs (120/89), MDIVs (11/11)
Line 1267: DIVs (120/90), MDIVs (11/11)
Line 1268: DIVs (120/90), MDIVs (11/11)
Line 1269: DIVs (121/90), MDIVs (11/11)
Line 1270: DIVs (121/90), MDIVs (11/11)
Line 1271: DIVs (122/90), MDIVs (11/11)
Line 1272: DIVs (122/90), MDIVs (11/11)
Line 1273: DIVs (123/90), MDIVs (11/11)
Line 1274: DIVs (123/90), MDIVs (11/11)
Line 1275: DIVs (123/91), MDIVs (11/11)
Line 1276: DIVs (123/91), MDIVs (11/11)
Line 1277: DIVs (124/91), MDIVs (11/11)
Line 1278: DIVs (124/91), MDIVs (11/11)
Line 1279: DIVs (124/91), MDIVs (11/11)
Line 1280: DIVs (124/91), MDIVs (11/11)
Line 1281: DIVs (124/91), MDIVs (11/11)
Line 1282: DIVs (124/91), MDIVs (11/11)
Line 1283: DIVs (124/91), MDIVs (11/11)
Line 1284: DIVs (124/91), MDIVs (11/11)
Line 1285: DIVs (124/91), MDIVs (11/11)
Line 1286: DIVs (125/91), MDIVs (11/11)
Line 1287: DIVs (126/91), MDIVs (11/11)
Line 1288: DIVs (127/91), MDIVs (11/11)
Line 1289: DIVs (127/91), MDIVs (11/11)
Line 1290: DIVs (127/92), MDIVs (11/11)
Line 1291: DIVs (128/92), MDIVs (11/11)
Line 1292: DIVs (128/92), MDIVs (11/11)
Line 1293: DIVs (128/92), MDIVs (11/11)
Line 1294: DIVs (128/93), MDIVs (11/11)
Line 1295: DIVs (128/94), MDIVs (11/11)
Line 1296: DIVs (128/94), MDIVs (11/11)
Line 1297: DIVs (129/94), MDIVs (11/11)
Line 1298: DIVs (129/94), MDIVs (11/11)
Line 1299: DIVs (129/95), MDIVs (11/11)
Line 1300: DIVs (129/96), MDIVs (11/11)
Line 1301: DIVs (129/97), MDIVs (11/11)
Line 1302: DIVs (129/98), MDIVs (11/11)
Line 1303: DIVs (129/98), MDIVs (11/11)
Line 1304: DIVs (129/98), MDIVs (11/11)
Line 1305: DIVs (130/98), MDIVs (11/11)
Line 1306: DIVs (130/98), MDIVs (11/11)
Line 1307: DIVs (130/98), MDIVs (11/11)
Line 1308: DIVs (130/98), MDIVs (11/11)
Line 1309: DIVs (130/98), MDIVs (11/11)
Line 1310: DIVs (130/98), MDIVs (11/11)
Line 1311: DIVs (130/98), MDIVs (11/11)
Line 1312: DIVs (130/98), MDIVs (11/11)
Line 1313: DIVs (130/98), MDIVs (11/11)
Line 1314: DIVs (130/98), MDIVs (11/11)
Line 1315: DIVs (130/98), MDIVs (11/11)
Line 1316: DIVs (130/98), MDIVs (11/11)
Line 1317: DIVs (130/98), MDIVs (11/11)
Line 1318: DIVs (130/99), MDIVs (11/11)
Line 1319: DIVs (130/99), MDIVs (11/11)
Line 1320: DIVs (130/99), MDIVs (11/11)
Line 1321: DIVs (131/99), MDIVs (11/11)
Line 1322: DIVs (131/99), MDIVs (11/11)
Line 1323: DIVs (131/99), MDIVs (11/11)
Line 1324: DIVs (131/99), MDIVs (11/11)
Line 1325: DIVs (131/99), MDIVs (11/11)
Line 1326: DIVs (131/99), MDIVs (11/11)
Line 1327: DIVs (132/99), MDIVs (11/11)
Line 1328: DIVs (132/99), MDIVs (11/11)
Line 1329: DIVs (132/99), MDIVs (11/11)
Line 1330: DIVs (132/100), MDIVs (11/11)
Line 1331: DIVs (132/100), MDIVs (11/11)
Line 1332: DIVs (132/101), MDIVs (11/11)
Line 1333: DIVs (132/102), MDIVs (11/11)
Line 1334: DIVs (132/103), MDIVs (11/11)
Line 1335: DIVs (132/103), MDIVs (11/11)
Line 1336: DIVs (132/103), MDIVs (11/11)
Line 1337: DIVs (132/103), MDIVs (11/11)
Line 1338: DIVs (132/103), MDIVs (11/11)
Line 1339: DIVs (133/103), MDIVs (11/11)
Line 1340: DIVs (134/103), MDIVs (11/11)
Line 1341: DIVs (135/103), MDIVs (11/11)
Line 1342: DIVs (136/103), MDIVs (11/11)
Line 1343: DIVs (136/103), MDIVs (11/11)
Line 1344: DIVs (137/103), MDIVs (11/11)
Line 1345: DIVs (137/104), MDIVs (11/11)
Line 1346: DIVs (137/104), MDIVs (11/11)
Line 1347: DIVs (137/105), MDIVs (11/11)
Line 1348: DIVs (137/105), MDIVs (11/11)
Line 1349: DIVs (138/105), MDIVs (11/11)
Line 1350: DIVs (138/105), MDIVs (11/11)
Line 1351: DIVs (138/105), MDIVs (11/11)
Line 1352: DIVs (138/105), MDIVs (11/11)
Line 1353: DIVs (138/105), MDIVs (11/11)
Line 1354: DIVs (138/105), MDIVs (11/11)
Line 1355: DIVs (138/105), MDIVs (11/11)
Line 1356: DIVs (138/105), MDIVs (12/11)
Line 1357: DIVs (138/105), MDIVs (12/11)
Line 1358: DIVs (138/105), MDIVs (12/11)
Line 1359: DIVs (138/105), MDIVs (12/11)
Line 1360: DIVs (138/105), MDIVs (12/11)
Line 1361: DIVs (138/105), MDIVs (12/11)
Line 1362: DIVs (138/105), MDIVs (12/11)
Line 1363: DIVs (138/105), MDIVs (12/11)
Line 1364: DIVs (138/105), MDIVs (12/11)
Line 1365: DIVs (139/105), MDIVs (12/11)
Line 1366: DIVs (139/105), MDIVs (12/11)
Line 1367: DIVs (139/105), MDIVs (12/11)
Line 1368: DIVs (139/105), MDIVs (12/12)
Line 1369: DIVs (139/105), MDIVs (12/12)
Line 1370: DIVs (139/106), MDIVs (12/12)
Line 1371: DIVs (139/107), MDIVs (12/12)
Line 1372: DIVs (139/107), MDIVs (12/12)
Line 1373: DIVs (139/107), MDIVs (12/12)
Line 1374: DIVs (139/108), MDIVs (12/12)
Line 1375: DIVs (139/108), MDIVs (12/12)
Line 1376: DIVs (139/108), MDIVs (12/12)
Line 1377: DIVs (139/108), MDIVs (12/12)
